ID,default_flag,predicted_pd,risk_band
1,1,0.804013,Very High
2,1,0.38919032,High
3,0,0.104964316,Moderate
4,0,0.1408383,Moderate
5,0,0.078221366,Low
6,0,0.17219628,Moderate
7,0,0.07481929,Low
8,0,0.14065315,Moderate
9,0,0.21645637,Moderate
10,0,0.1215441,Moderate
11,0,0.20359409,Moderate
12,0,0.13142549,Moderate
13,0,0.05196958,Low
14,1,0.54890424,Very High
15,0,0.03325849,Low
16,0,0.2865461,High
17,1,0.5268962,Very High
18,0,0.15008812,Moderate
19,0,0.4357731,High
20,0,0.30398583,High
21,0,0.0774558,Low
22,1,0.23341593,Moderate
23,1,0.7782435,Very High
24,1,0.15582804,Moderate
25,0,0.07786792,Low
26,0,0.15367027,Moderate
27,1,0.17424671,Moderate
28,0,0.09850597,Low
29,0,0.22533083,Moderate
30,0,0.12869658,Moderate
31,0,0.036596768,Low
32,1,0.689351,Very High
33,0,0.121375576,Moderate
34,0,0.03915775,Low
35,0,0.07609431,Low
36,0,0.105250984,Moderate
37,0,0.08099025,Low
38,0,0.17664598,Moderate
39,1,0.27420968,High
40,0,0.14680912,Moderate
41,0,0.0922616,Low
42,0,0.105020046,Moderate
43,0,0.17682011,Moderate
44,0,0.06249164,Low
45,0,0.21602145,Moderate
46,1,0.25250566,High
47,1,0.30279434,High
48,1,0.08441719,Low
49,0,0.022937091,Low
50,0,0.1716921,Moderate
51,1,0.47975102,High
52,0,0.07733997,Low
53,0,0.039302975,Low
54,0,0.24821848,Moderate
55,0,0.65907544,Very High
56,0,0.12589161,Moderate
57,0,0.065001965,Low
58,0,0.11474744,Moderate
59,0,0.46269345,High
60,0,0.1358317,Moderate
61,1,0.046052698,Low
62,0,0.14151488,Moderate
63,1,0.8295324,Very High
64,1,0.17257985,Moderate
65,0,0.23914932,Moderate
66,1,0.2956459,High
67,1,0.7156211,Very High
68,0,0.21706308,Moderate
69,0,0.13547991,Moderate
70,0,0.23523995,Moderate
71,0,0.2390324,Moderate
72,1,0.78937256,Very High
73,0,0.17986405,Moderate
74,0,0.31070185,High
75,0,0.047098696,Low
76,0,0.3395921,High
77,0,0.11696574,Moderate
78,0,0.18642123,Moderate
79,1,0.15999,Moderate
80,1,0.39044634,High
81,0,0.044629212,Low
82,0,0.03303217,Low
83,1,0.12038065,Moderate
84,0,0.10603285,Moderate
85,0,0.12038876,Moderate
86,0,0.06518198,Low
87,1,0.37404,High
88,0,0.088650696,Low
89,0,0.055925168,Low
90,0,0.747178,Very High
91,1,0.7892329,Very High
92,0,0.13958736,Moderate
93,0,0.06831734,Low
94,0,0.18599734,Moderate
95,0,0.12739938,Moderate
96,0,0.1615329,Moderate
97,0,0.05473824,Low
98,0,0.06857017,Low
99,0,0.1482167,Moderate
100,1,0.21849723,Moderate
101,0,0.11745927,Moderate
102,0,0.08826659,Low
103,0,0.1450279,Moderate
104,1,0.18269816,Moderate
105,0,0.6714727,Very High
106,0,0.13152255,Moderate
107,0,0.14563926,Moderate
108,0,0.15436058,Moderate
109,0,0.24122386,Moderate
110,0,0.32668817,High
111,0,0.093253106,Low
112,0,0.2820943,High
113,0,0.72446287,Very High
114,0,0.07175,Low
115,0,0.12229465,Moderate
116,1,0.55746526,Very High
117,0,0.13771029,Moderate
118,1,0.69035465,Very High
119,0,0.044783685,Low
120,0,0.051295493,Low
121,1,0.7250933,Very High
122,1,0.45260036,High
123,0,0.38425344,High
124,1,0.7115699,Very High
125,0,0.17801373,Moderate
126,0,0.43004665,High
127,0,0.08072659,Low
128,1,0.17076254,Moderate
129,1,0.22883256,Moderate
130,0,0.49886128,High
131,0,0.08390536,Low
132,0,0.28658772,High
133,0,0.07707727,Low
134,0,0.11248023,Moderate
135,0,0.15877926,Moderate
136,0,0.36539578,High
137,0,0.054713223,Low
138,0,0.10228859,Moderate
139,1,0.2462885,Moderate
140,0,0.14415057,Moderate
141,1,0.42791614,High
142,0,0.15719631,Moderate
143,0,0.34195536,High
144,0,0.04023684,Low
145,0,0.13622811,Moderate
146,0,0.3347535,High
147,1,0.10178635,Moderate
148,0,0.2147073,Moderate
149,0,0.48143488,High
150,0,0.23254772,Moderate
151,0,0.20269823,Moderate
152,0,0.062788956,Low
153,0,0.19431695,Moderate
154,0,0.06476971,Low
155,0,0.14119156,Moderate
156,0,0.06191628,Low
157,0,0.051155884,Low
158,0,0.08596847,Low
159,1,0.5553356,Very High
160,0,0.6267735,Very High
161,0,0.71397316,Very High
162,0,0.27983025,High
163,0,0.14680678,Moderate
164,0,0.11511518,Moderate
165,0,0.10881308,Moderate
166,0,0.08959515,Low
